month,rp_div,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl
1966-02-01,-0.02497752511909556,-3.498043491554496,-3.5160776576605777,-2.8474559254133465,-0.6505875661411495,3.370655e-4,0.4384960447,0.0200259742,0.0465,0.0477,-0.025,0.0011999999999999997,0.0034000000000000002,0.0062893082
1966-03-01,0.01647765113883276,-3.4687663782095144,-3.490823243581009,-2.8159916529399567,-0.6527747252695579,9.310079e-4,0.4901759356,0.0167881795,0.0459,0.046,0.0296,9.999999999999593e-5,0.003999999999999997,0.003125
1966-04-01,-0.05786168084475367,-3.4830784792155285,-3.4627771552209525,-2.8288302557329428,-0.6542482234825859,3.512647e-4,0.4854982435,0.0156362514,0.0462,0.0467,-0.0063,5.000000000000004e-4,0.004500000000000004,0.0062305296
1966-05-01,-0.01935341276418167,-3.421499611272751,-3.4771604583783042,-2.765761967349528,-0.6557376439232232,0.0019354754,0.5127422037,0.015945601,0.0464,0.0473,-0.0059,9.00000000000005e-4,0.0050000000000000044,0
1966-06-01,-0.01636615065908939,-3.3993110335432672,-3.4155810711459362,-2.7421389554416002,-0.6571720781016672,5.012069e-4,0.5209746006,0.0171229559,0.045,0.0477,-0.0016,0.002700000000000001,0.0051,0.0030959752
1966-07-01,-0.08200626568875506,-3.378724525810097,-3.3922687509178546,-2.725540790300844,-0.6531837355092529,0.0010137845,0.5349430008,0.0186412636,0.048,0.0482,-0.0037,1.999999999999988e-4,0.005200000000000003,0.0030864198
1966-08-01,-0.01051569263061047,-3.2907912507977537,-3.3717314903191262,-2.6415741127356425,-0.6492171380621108,0.0031652347,0.5749546556,0.0214702713,0.0496,0.0499,-0.0206,3.0000000000000165e-4,0.005199999999999996,0.0061538462
1966-09-01,0.04022592071456963,-3.2768182450203582,-3.2838467784449428,-2.6315101239798757,-0.6453081210404823,0.0016003107,0.5854924957,0.0169844585,0.0537,0.048,0.0332,-0.005699999999999997,0.006000000000000005,0
1966-10-01,-0.0010667142137954465,-3.3255880433572576,-3.2791392756294875,-2.6755480071233353,-0.6500400362339223,0.0025467766,0.5616613181,0.0151840797,0.0535,0.0467,0.0228,-0.0068000000000000005,0.006899999999999996,0.006116208
1966-11-01,-0.005513699468263408,-3.330992069592784,-3.3278797110268608,-2.676237218029825,-0.6547548515629593,7.744163e-4,0.5726449298,0.0175496373,0.0532,0.048,-0.0148,-0.005199999999999996,0.007800000000000001,0
1966-12-01,0.06858875795044803,-3.3318311204141917,-3.3333238436668626,-2.6723452224273783,-0.6594858979868132,6.269421e-4,0.5769451056,0.0172076295,0.0496,0.0455,0.0413,-0.0040999999999999995,0.007899999999999997,0
1967-01-01,-0.001584157740940805,-3.403624988195099,-3.328352856037867,-2.753635426910173,-0.6499895612849256,7.334878e-4,0.5333631411,0.0156975215,0.0472,0.0448,0.0154,-0.0023999999999999994,0.0077000000000000055,0
1967-02-01,0.033645504603720955,-3.402119678245864,-3.4001587802186126,-2.7616690708727663,-0.6404506073730973,4.124037e-4,0.5400478931,0.0177009311,0.0456,0.0465,-0.0221,8.99999999999998e-4,0.007900000000000004,0
1967-03-01,0.0369136375669182,-3.43731869007615,-3.398665443377776,-2.806413818393425,-0.6309048716827246,5.011362e-4,0.5495507979,0.0149212351,0.0426,0.0455,0.0198,0.0029,0.007200000000000005,0.0030395137
